list_id,stable_meta_label,current_title,fallback_name,idea_list_url,include_in_meta,first_seen,last_seen,last_changed,last_product_count,product_hash,status
1DXRHB098MRMA,IL_1DXRHB098MRMA,JOCELYN'S Space,See all,https://www.amazon.com/shop/thehillarystyle/list/1DXRHB098MRMA,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:42:14-07:00,,32,d66d13a8f1375f18b5546c3edcf45a65c218d7e1cf762a7020f279d20a1894cc,approved_active
1E7EHNK9QTVEH,IL_1E7EHNK9QTVEH,TOP OCTOBER DEALS,See all,https://www.amazon.com/shop/thehillarystyle/list/1E7EHNK9QTVEH,yes,2026-08-04T12:43:18-07:00,2026-08-05T23:01:06-07:00,2026-08-05T23:01:06-07:00,74,f24092980ffdef641fe308d2ec7b2f4d414f317eb6a3a9f23b3dd68b99f3299f,approved_active
1GS6BISWIK7UN,IL_1GS6BISWIK7UN,OVER 40 & Fabulous HILLARY'S Capsule WARDROBE - Effortless & Chic,OVER 40 & FABULOUS,https://www.amazon.com/shop/thehillarystyle/list/1GS6BISWIK7UN,yes,2026-08-04T18:39:33+00:00,2026-08-05T22:51:30-07:00,2026-08-05T22:51:30-07:00,90,3746e81257e34d28be9ec331dfb0470d3fd53325ad78766a78bb0e962ede5f2a,approved_active
1HHMN64HEUPU9,IL_1HHMN64HEUPU9,THE DRESS SHOPPE - From BRUNCH to BLACK TIE,THE DRESS SHOPPE,https://www.amazon.com/shop/thehillarystyle/list/1HHMN64HEUPU9,yes,2026-08-04T18:39:33+00:00,2026-08-05T22:57:30-07:00,2026-08-05T22:57:30-07:00,89,4e8f94595537e5d8be20e4b3be38bdb9cb82d3ebbdf1ceb182fd583be3f70007,approved_active
1HZQPC6SSAHFG,IL_1HZQPC6SSAHFG,WALL DECOR - MIRRORS. ART. FRAMES.,See all,https://www.amazon.com/shop/thehillarystyle/list/1HZQPC6SSAHFG,yes,2026-08-04T12:43:18-07:00,2026-08-05T23:04:23-07:00,2026-08-05T23:04:23-07:00,71,c4751a6fec6304a7290497b246468b779b42e689ef044ba078454dbf659bde01,approved_active
1I8FQ5LPJG30D,IL_1I8FQ5LPJG30D,TWEEN & TEEN - GIFT GUIDE,See all,https://www.amazon.com/shop/thehillarystyle/list/1I8FQ5LPJG30D,yes,2026-08-04T12:43:18-07:00,2026-08-05T23:02:28-07:00,2026-08-05T23:02:28-07:00,74,ba53a71b0378e6776e06c011d5a52d348268b406336c3210b6e3d397f9dd6d31,approved_active
1K9R04PZQD03N,IL_1K9R04PZQD03N,FALL LOUNGE SETS,See all,https://www.amazon.com/shop/thehillarystyle/list/1K9R04PZQD03N,yes,2026-08-04T17:58:21-07:00,2026-08-05T22:33:49-07:00,2026-08-05T22:33:49-07:00,40,23bfc4a933bcd3892878319d7ee7e344ba3ba31d1d4a334f7e044bba073176c4,approved_active
1LFWTJH9UBPKU,IL_1LFWTJH9UBPKU,BEDDING. PILLOWS. THROWS. TOWELS.,BEDDING. PILLOWS. THROWS. TOWELS. 97 Items,https://www.amazon.com/shop/thehillarystyle/list/1LFWTJH9UBPKU,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:26:11-07:00,2026-08-05T22:26:11-07:00,74,c41637e509ccdb529240dd9a4319d078de7f2c25e70f33063ef1eaa45ca29ba1,approved_active
1LKQL9NF315YS,IL_1LKQL9NF315YS,HOLIDAY COLOR CRUSHES 2025,See all,https://www.amazon.com/shop/thehillarystyle/list/1LKQL9NF315YS,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:39:19-07:00,2026-08-05T22:39:19-07:00,89,848b8e8db21fdd77764e4cdd6f835b1fb376c83d40d7657af9b102b3696103d9,approved_active
1LVS8EBYWIS2J,IL_1LVS8EBYWIS2J,TECH ESSENTIALS,See all,https://www.amazon.com/shop/thehillarystyle/list/1LVS8EBYWIS2J,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:57:11-07:00,2026-08-05T22:57:11-07:00,86,287c19d93b03b417941564e6fa58f4c12c8aced1c9a241fded8cfc733198e109,approved_active
1MB9961G83COM,IL_1MB9961G83COM,FEBRUARY Best Sellers,See all,https://www.amazon.com/shop/thehillarystyle/list/1MB9961G83COM,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:34:40-07:00,2026-08-05T22:34:40-07:00,89,5b92421645bc0b460e3d76774b27d04b04499ad4fca9748085a9f5f236554a58,approved_active
1MKYF1CAY9E8G,IL_1MKYF1CAY9E8G,PANTRY Organization,See all,https://www.amazon.com/shop/thehillarystyle/list/1MKYF1CAY9E8G,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:51:32-07:00,,29,7539cfcd199f3891eb4912c41f754d67ba04554ddad7de8ddc9b09d71fe58620,approved_active
1NFO0QLH5HS6Y,IL_1NFO0QLH5HS6Y,COFFEE TABLE BOOKS,See all,https://www.amazon.com/shop/thehillarystyle/list/1NFO0QLH5HS6Y,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:29:43-07:00,2026-08-05T22:29:43-07:00,70,97cf90860b42bfd1931e38c01f5c13278653d90b893cac5cf532de38e2c0652e,approved_active
1NR6N43OIR93A,IL_1NR6N43OIR93A,UNBOXING,UNBOXING 32 Items,https://www.amazon.com/shop/thehillarystyle/list/1NR6N43OIR93A,yes,2026-08-04T12:43:18-07:00,2026-08-05T23:02:53-07:00,,42,b05c763d2863b49a13dd84138ec30f88ab5111da3b10a6d8bf6487af12d55c3e,approved_active
1NSB6B4CK6NM1,IL_1NSB6B4CK6NM1,48 Yr Old Mom of 5 - What I am OBSESSED over!,See all,https://www.amazon.com/shop/thehillarystyle/list/1NSB6B4CK6NM1,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:21:39-07:00,2026-08-05T22:21:39-07:00,72,ddaf37f1c15151186009db89868b13cce81696f7b8761b4235d220d90f3ced9d,approved_active
1OH1TVBZ3L337,IL_1OH1TVBZ3L337,LAST MINUTE GIFTS,LAST MINUTE GIFTS 192 Items,https://www.amazon.com/shop/thehillarystyle/list/1OH1TVBZ3L337,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:45:25-07:00,2026-08-05T22:45:25-07:00,87,940105b4c82b20099003925a6cc85044f850512d20e6d04789e0848bbecf4166,approved_active
1Q6KH53S4CVWD,IL_1Q6KH53S4CVWD,HOLIDAY BEST SELLERS,See all,https://www.amazon.com/shop/thehillarystyle/list/1Q6KH53S4CVWD,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:38:54-07:00,,31,ac679eb00d76ed52a842621f99f746257349eb77dca3957ac6e70ed7fbe69861,approved_active
1QMBJFJU34FUR,IL_1QMBJFJU34FUR,NEW HOME FINDS,See all,https://www.amazon.com/shop/thehillarystyle/list/1QMBJFJU34FUR,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:49:42-07:00,2026-08-05T22:49:42-07:00,74,915ddb8ac6b1246113453ca3d0b967713114508eca8dc54f985b92fc974df256,approved_active
1QMQ9WWH79VRL,IL_1QMQ9WWH79VRL,BED & BATH FINDS,See all,https://www.amazon.com/shop/thehillarystyle/list/1QMQ9WWH79VRL,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:25:45-07:00,2026-08-05T22:25:45-07:00,69,9396f99c98e2e20e77cede8f05649ec90fccc9784ddb4fefd420223c760bafb2,approved_active
1R4YIGU257W50,IL_1R4YIGU257W50,CLOSET Organizing,See all,https://www.amazon.com/shop/thehillarystyle/list/1R4YIGU257W50,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:29:16-07:00,2026-08-04T20:25:50-07:00,70,aa51910fe340e11b1cbefbd7cf35c88da95a98e3061e36f8138b33d35f1dee77,approved_active
1RA73GK94YR1G,IL_1RA73GK94YR1G,Our REMODEL HOME,Our REMODEL HOME 99 Items,https://www.amazon.com/shop/thehillarystyle/list/1RA73GK94YR1G,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:50:37-07:00,2026-08-05T22:50:37-07:00,90,7d9f84a2255a97edf75c74fd78919da87ab6341f7cab0038577ba3bf3f1a06c2,approved_active
1SLNDA7361JAR,IL_1SLNDA7361JAR,The STYLE EDIT - HOTTEST finds RIGHT NOW!,CREATOR CONNECTIONS HOTTEST FINDS RIGHT NOW,https://www.amazon.com/shop/thehillarystyle/list/1SLNDA7361JAR,yes,2026-08-04T18:39:33+00:00,2026-08-05T22:59:05-07:00,2026-08-05T22:59:05-07:00,89,fc0939439a1a4d960a86c4669d99941e6a4ba53ea1324ad9fa40fa0d1ed2064d,approved_active
1UGCFJJRVROLC,IL_1UGCFJJRVROLC,Amazon Furniture in Our Home,See all,https://www.amazon.com/shop/thehillarystyle/list/1UGCFJJRVROLC,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:22:07-07:00,,30,b17aa2e4569668087ba2495c7d5cea614ab888b3b729f6b44791ff5c3e95589c,approved_active
1XPGUL8BC81KW,IL_1XPGUL8BC81KW,Hillary's NEWEST Finds,See all,https://www.amazon.com/shop/thehillarystyle/list/1XPGUL8BC81KW,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:38:51-07:00,2026-08-05T22:38:51-07:00,73,ece7865aa921ef7693c024fa2f7e9737367a98f6de814326d9e13a0a00fe7701,approved_active
1YYODGJOLLLRT,IL_1YYODGJOLLLRT,BARCART,BARCART 26 Items,https://www.amazon.com/shop/thehillarystyle/list/1YYODGJOLLLRT,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:23:55-07:00,,36,5d88fe316b0b922fcf41f76f9edeee52977320ebd926b3b3639b0bd4b2b85466,approved_active
20274194WU668,IL_20274194WU668,STOCKING STUFFERS,See all,https://www.amazon.com/shop/thehillarystyle/list/20274194WU668,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:56:26-07:00,2026-08-05T22:56:26-07:00,73,72f73964a06eddfde2d450eee7fdfc46933c042c1caadc93652c64b5d26823fb,approved_active
202RY6J21JOG9,IL_202RY6J21JOG9,AMAZING NEW Home Finds,See all,https://www.amazon.com/shop/thehillarystyle/list/202RY6J21JOG9,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:22:04-07:00,,25,d8a5a47bc48a95e1b30d94ebc48b09b7c0878c09f96691ca39625668f9a85186,approved_active
20ODL7UVO85YK,IL_20ODL7UVO85YK,ELEVATED SWIMWEAR,ELEVATED SWIMWEAR,https://www.amazon.com/shop/thehillarystyle/list/20ODL7UVO85YK,yes,2026-08-04T18:39:33+00:00,2026-08-05T22:33:07-07:00,2026-08-05T22:33:07-07:00,42,e376b5f58ef0276fa2061e7bf98602b1c4d8822f922cd6bf97fc4eef2a2a6a2e,approved_active
20Q0HRFOLM3K2,IL_20Q0HRFOLM3K2,DATE NIGHT FASHION,DATE NIGHT,https://www.amazon.com/shop/thehillarystyle/list/20Q0HRFOLM3K2,yes,2026-08-04T18:39:33+00:00,2026-08-05T22:30:52-07:00,2026-08-05T22:30:52-07:00,90,ac7168fb568562cf97a00362d439f5675ae9cff16716e299b117255cb355e564,approved_active
21CU9PVXLTL6P,IL_21CU9PVXLTL6P,SHOP The Hillary Style,See all,https://www.amazon.com/shop/thehillarystyle/list/21CU9PVXLTL6P,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:54:31-07:00,2026-08-05T22:54:31-07:00,90,dbde9aa824abe08dbf3e445fc24d1d9ff5a514cefcb4a96f88d01f58f0b4564a,approved_active
21IKKXKZPGWVW,IL_21IKKXKZPGWVW,OUR Rental,OUR Rental 7 Items,https://www.amazon.com/shop/thehillarystyle/list/21IKKXKZPGWVW,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:50:40-07:00,,17,67a58ee125953b40e1a30bdf24af85952571fca1eb4ff0148b74a23369565d2d,approved_active
21MLRQOMMKCFI,IL_21MLRQOMMKCFI,LUXE Holiday Home,LUXE Holiday Home 58 Items,https://www.amazon.com/shop/thehillarystyle/list/21MLRQOMMKCFI,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:46:25-07:00,2026-08-05T22:46:25-07:00,58,ed19e4ab8d34b960c2281b1b8255c880e0bc70b387856c9d4edceb45580ab505,approved_active
